Block number,Time,Gas used,Gas limit,Base fee per gas
12965272,1628170717,28312407,28316572,70002717359
12965273,1628170722,7106640,28288921,78750482906
12965274,1628170730,28300048,28316545,73852525300
12965275,1628170769,886766,28288894,83073335136
12965276,1628170772,6892691,28261270,73340188828
12965277,1628170778,22438990,28288867,68644432236
12965278,1628170783,6072106,28261243,73676227748
12965279,1628170789,12765821,28233646,68424149775
12965280,1628170808,24852497,28261216,67605612531
12965281,1628170834,261214,28288813,74017755884
12965282,1628170835,28308623,28316437,64936403190
12965283,1628170863,4201228,28344088,73048974316
12965284,1628170866,28310307,28316410,66624725617
12965285,1628170873,7709803,28288759,74949226433
12965286,1628170888,6789399,28261135,70687228667
12965287,1628170893,27184282,28288732,66096765126
12965288,1628170908,1076720,28261108,73713722516
12965289,1628170910,4233280,28233511,65201612011
12965290,1628170919,28247842,28261081,59495462632
12965291,1628170934,7452328,28233484,66925428273
12965292,1628170943,21562211,28205914,62976050638
12965293,1628170962,27287552,28178371,67139666445
12965294,1628170989,273955,28150855,75001494134
12965295,1628170996,28111827,28123365,65808779934
12965296,1628171024,4871834,28095902,74028128269
12965297,1628171033,19620188,28068466,67983734622
12965298,1628171047,3236566,28041057,71366125401
12965299,1628171058,28004463,28013675,64504672106
12965300,1628171098,18011406,28041031,72562453775
12965301,1628171100,10471090,28013649,75144285145
12965302,1628171110,11825369,27986293,72773206913
12965303,1628171129,27956355,27958964,71363980531
12965304,1628171174,12520974,27986266,80282813258
12965305,1628171193,2391605,27958937,79227035881
12965306,1628171198,27921612,27931635,71017924869
12965307,1628171228,0,27904360,79888795087
12965308,1628171229,27873328,27877111,69902695702
12965309,1628171236,11290820,27849889,78638161794
12965310,1628171254,2735993,27822693,76778704862
12965311,1628171256,19905395,27849862,69068908757
12965312,1628171265,7539280,27822666,72776863596
12965313,1628171271,11818327,27795497,68609954933
12965314,1628171287,9267491,27822640,67326752602
12965315,1628171291,25748737,27795471,64517404476
12965316,1628171320,25437458,27768328,71394387393
12965317,1628171376,1809581,27795444,78820476816
